source,target,length,source_x,source_y,edge_id
944,942,82.28,461811,3.15901e+06,2139
944,945,94.99,461811,3.15901e+06,2140
944,941,40.823,461811,3.15901e+06,2141
1,2,18.597,464375,3.14722e+06,1
1,3,904.037,464375,3.14722e+06,2
393,29437,104.497,465515,3.16297e+06,825
393,13182,102.315,465515,3.16297e+06,826
393,389,198.313,465515,3.16297e+06,827
393,436,303.913,465515,3.16297e+06,828
1054,1055,427.709,462034,3.1561e+06,2420
1054,1056,81.538,462034,3.1561e+06,2421
1054,1057,170.793,462034,3.1561e+06,2422
1054,1058,309.313,462034,3.1561e+06,2423
37879,37878,92.592,442173,3.15633e+06,92670
37879,37868,56.086,442173,3.15633e+06,92671
37879,37852,125.176,442173,3.15633e+06,92672
3517,15502,96.369,469559,3.16367e+06,9580
3517,15503,179.021,469559,3.16367e+06,9581
3517,3515,85.302,469559,3.16367e+06,9582
2,26628,16.745,464375,3.14721e+06,3
2,26629,32.544,464375,3.14721e+06,4
40859,44781,4.579,445383,3.15599e+06,99219
3,155,11.556,463469,3.14723e+06,5
3,27958,113.143,463469,3.14723e+06,6
1970,1971,89.45,454169,3.15968e+06,4949
1970,1972,88.938,454169,3.15968e+06,4950
1970,1973,346.957,454169,3.15968e+06,4951
1970,1974,362.898,454169,3.15968e+06,4952
37413,28365,72.628,479601,3.16045e+06,91657
387,385,190.711,465317,3.16327e+06,803
387,29417,149.879,465317,3.16327e+06,804
387,15874,93.283,465317,3.16327e+06,805
387,11739,106.928,465317,3.16327e+06,806
7184,19145,122.078,463700,3.1541e+06,20027
47081,47080,48.926,448599,3.14208e+06,113453
47081,47088,87.585,448599,3.14208e+06,113454
47081,47093,56.051,448599,3.14208e+06,113455
4,5,16.802,461039,3.14717e+06,7
4,6,229.662,461039,3.14717e+06,8
4,7,274.482,461039,3.14717e+06,9
1463,25986,13.195,458873,3.1512e+06,3453
1463,798,63.193,458873,3.1512e+06,3454
1463,25794,77.198,458873,3.1512e+06,3455
948,28998,129.776,470157,3.15502e+06,2150
5,4,16.802,461039,3.14716e+06,10
5,26618,107.756,461039,3.14716e+06,11
5,74,158.837,461039,3.14716e+06,12
38290,38304,13.625,476848,3.15262e+06,93634
3090,8884,169.656,454765,3.15709e+06,8351
3090,15643,30.123,454765,3.15709e+06,8352
3090,3087,124.014,454765,3.15709e+06,8353
397,10364,42.436,465139,3.16485e+06,838
397,394,95.259,465139,3.16485e+06,839
397,9091,40.731,465139,3.16485e+06,840
6,7250,104.016,461118,3.14738e+06,13
6,7248,503.096,461118,3.14738e+06,14
6,4,229.662,461118,3.14738e+06,15
1457,2026,62.247,463983,3.15299e+06,3438
1457,7166,236.963,463983,3.15299e+06,3439
1457,1453,160.542,463983,3.15299e+06,3440
4022,15356,133.535,465995,3.15543e+06,11023
4022,1163,119.568,465995,3.15543e+06,11024
4022,13669,52.722,465995,3.15543e+06,11025
4022,13670,51.836,465995,3.15543e+06,11026
7,26612,20.067,460765,3.14716e+06,16
7,26613,330.411,460765,3.14716e+06,17
407,405,78.567,466921,3.16468e+06,867
407,404,81.272,466921,3.16468e+06,868
407,34141,178.4,466921,3.16468e+06,869
1124,1123,504.722,444181,3.162e+06,2582
1124,9979,173.118,444181,3.162e+06,2583
1124,1125,135.916,444181,3.162e+06,2584
3515,3516,105.701,469557,3.16375e+06,9575
3515,3517,85.302,469557,3.16375e+06,9576
3515,3518,63.259,469557,3.16375e+06,9577
3515,3519,83.364,469557,3.16375e+06,9578
8,9,17.648,460673,3.14686e+06,18
8,10,495.683,460673,3.14686e+06,19
952,2362,61.171,454252,3.16361e+06,2158
952,951,52.857,454252,3.16361e+06,2159
952,2364,281.527,454252,3.16361e+06,2160
952,9035,191.478,454252,3.16361e+06,2161
9,141,10.38,460687,3.14685e+06,20
9,26650,32.196,460687,3.14685e+06,21
401,400,98.606,466302,3.16449e+06,849
401,29576,254.018,466302,3.16449e+06,850
401,398,88.065,466302,3.16449e+06,851
39480,39478,280.36,440296,3.15662e+06,96390
39480,39482,113.011,440296,3.15662e+06,96391
39480,39479,172.981,440296,3.15662e+06,96392
1126,8611,123.093,444139,3.16164e+06,2588
1126,1123,89.735,444139,3.16164e+06,2589
1126,8612,404.255,444139,3.16164e+06,2590
15749,16269,293.587,463175,3.15299e+06,43267
15749,16270,81.005,463175,3.15299e+06,43268
15749,6483,71.484,463175,3.15299e+06,43269
38444,38443,143.851,446565,3.15509e+06,93999
38444,38442,231.16,446565,3.15509e+06,94000
38444,35266,94.493,446565,3.15509e+06,94001
10,26648,16.063,460553,3.14638e+06,22
10,37038,294.933,460553,3.14638e+06,23
10,3294,187.234,460553,3.14638e+06,24
11,12,142.77,460236,3.14557e+06,25
11,13,50.356,460236,3.14557e+06,26
38368,38364,133.337,474397,3.14819e+06,93826
38368,38367,153.6,474397,3.14819e+06,93827
38368,38376,255.067,474397,3.14819e+06,93828
1978,4404,76.652,480535,3.15738e+06,4972
1978,1977,64.992,480535,3.15738e+06,4973
1978,16875,131.501,480535,3.15738e+06,4974
1978,16874,70.834,480535,3.15738e+06,4975
3096,3095,58.046,484164,3.15943e+06,8367
395,394,172.605,465233,3.16502e+06,832
395,8580,158.055,465233,3.16502e+06,833
395,15475,236.863,465233,3.16502e+06,834
12,16,15.062,460379,3.14557e+06,27
12,11,142.77,460379,3.14557e+06,28
12,17,46.634,460379,3.14557e+06,29
1471,16109,96.793,470161,3.15842e+06,3477
1471,16110,256.503,470161,3.15842e+06,3478
1471,1468,140.12,470161,3.15842e+06,3479
45606,45604,114.42,447977,3.17183e+06,110100
45606,45604,295.681,447977,3.17183e+06,110101
45606,45605,104.368,447977,3.17183e+06,110102
956,46445,10.07,445562,3.17747e+06,2171
956,34288,18.769,445562,3.17747e+06,2172
40487,40486,173.364,451415,3.14298e+06,98502
40487,40483,74.105,451415,3.14298e+06,98503
40487,40490,88.296,451415,3.14298e+06,98504
13,11,50.356,460186,3.14557e+06,30
13,22843,976.144,460186,3.14557e+06,31
405,406,106.094,467000,3.16468e+06,861
405,407,78.567,467000,3.16468e+06,862
405,408,219.69,467000,3.16468e+06,863
7194,5729,109.019,463762,3.1557e+06,20052
7194,7193,93.65,463762,3.1557e+06,20053
7194,5726,92.382,463762,3.1557e+06,20054
46067,46114,472.142,475780,3.13685e+06,111101
14,15,276.735,460359,3.14499e+06,32
47079,47088,82.517,448476,3.14197e+06,113447
47079,46490,49.972,448476,3.14197e+06,113448
47079,47089,48.541,448476,3.14197e+06,113449
1465,1464,119.577,447511,3.15219e+06,3459
1465,20440,139.715,447511,3.15219e+06,3460
1465,9135,115.672,447511,3.15219e+06,3461
1465,9138,139.568,447511,3.15219e+06,3462
16318,16317,17.838,457682,3.15972e+06,44669
16318,16317,100.342,457682,3.15972e+06,44670
16318,10879,185.713,457682,3.15972e+06,44671
15,122,13.166,460356,3.14471e+06,33
15,123,82.307,460356,3.14471e+06,34
44516,44515,12.859,439304,3.13924e+06,107538
415,33980,13.288,470759,3.16442e+06,888
1132,21263,181.459,447011,3.17489e+06,2604
1132,4498,206.402,447011,3.17489e+06,2605
1132,1131,81.181,447011,3.17489e+06,2606
44997,44995,98.01,437153,3.14288e+06,108687
44997,44998,101.406,437153,3.14288e+06,108688
44997,44999,124.386,437153,3.14288e+06,108689
16,40725,13.439,460392,3.14556e+06,35
