Time,VehicleID,EdgeID,LaneIndex,Speed_mps,Accel_mps2,Pos_m,RouteIndex,WaitTime_s,OriginID,DestID
0,1392,33,0,30.0055,0.341286,0.480087,0,0,18,558
0,1393,1285,0,30.0054,0.337686,0.480086,0,0,602,100
0,1394,1167,0,30.0054,0.336967,0.480086,0,0,539,298
0,1395,561,0,30.0055,0.341286,0.480087,0,0,229,631
0,1396,562,0,29.9861,-0.868021,0.479778,0,0,230,29
0,1397,37,0,30.004,0.247889,0.480063,0,0,20,482
0,1398,1046,0,29.84,-10,0.47744,0,0,464,569
0,1399,387,0,30.0025,0.15518,0.48004,0,0,161,296
0,1400,908,0,30.0052,0.324852,0.480083,0,0,389,41
0,1401,549,0,30.0054,0.339394,0.480087,0,0,225,549
0,1402,1192,0,30.0055,0.341286,0.480087,0,0,555,566
0,1403,1045,0,30.0054,0.338957,0.480087,0,0,463,531
0,1404,172,0,30.0049,0.303191,0.480078,0,0,74,249
0,1405,1031,0,30.0054,0.339031,0.480087,0,0,454,567
0.016,1392,33,0,30.0109,0.340442,0.960262,0,0,18,558
0.016,1393,1285,0,30.0108,0.336848,0.960259,0,0,602,100
0.016,1394,1167,0,30.0108,0.33613,0.960259,0,0,539,298
0.016,1395,561,0,29.9903,-0.947944,0.959932,0,0,229,631
0.016,1396,562,0,29.9724,-0.854864,0.959337,0,0,230,29
0.016,1397,37,0,30.0079,0.247312,0.96019,0,0,20,482
0.016,1398,1046,0,29.68,-10,0.95232,0,0,464,569
0.016,1399,387,0,30.0042,0.106302,0.960107,0,0,161,296
0.016,1400,908,0,30.0104,0.324033,0.960249,0,0,389,41
0.016,1401,549,0,30.0108,0.338554,0.960261,0,0,225,549
0.016,1402,1192,0,30.0109,0.340442,0.960262,0,0,555,566
0.016,1403,1045,0,30.0108,0.338117,0.96026,0,0,463,531
0.016,1404,172,0,30.0097,0.302402,0.960233,0,0,74,249
0.016,1405,1031,0,30.0108,0.338191,0.96026,0,0,454,567
0.016,1406,981,0,29.84,-10,0.47744,0,0,426,298
0.016,1407,542,0,30.0054,0.339433,0.480087,0,0,222,3
0.016,1408,786,0,30.0054,0.339137,0.480087,0,0,336,461
0.016,1409,530,0,30.0055,0.341286,0.480087,0,0,217,578
0.016,1410,760,0,30.0051,0.317093,0.480081,0,0,323,82
0.016,1411,566,0,30.0054,0.338738,0.480087,0,0,232,376
0.016,1412,965,0,30.0052,0.327833,0.480084,0,0,417,91
0.016,1413,592,0,30.0053,0.334002,0.480086,0,0,242,670
0.016,1414,1191,0,29.84,-10,0.47744,0,0,554,672
0.016,1415,728,0,30.0054,0.336413,0.480086,0,0,306,383
0.016,1416,610,0,30.0051,0.321293,0.480082,0,0,250,629
0.032,1392,33,0,30.0163,0.339599,1.44052,0,0,18,558
0.032,1393,1285,0,30.0162,0.336012,1.44052,0,0,602,100
0.032,1394,1167,0,30.0161,0.335295,1.44052,0,0,539,298
0.032,1395,561,0,29.9754,-0.933104,1.43954,0,0,229,631
0.032,1396,562,0,29.9588,-0.852458,1.43868,0,0,230,29
0.032,1397,37,0,30.0119,0.246736,1.44038,0,0,20,482
0.032,1398,1046,0,29.52,-10,1.42464,0,0,464,569
0.032,1399,387,0,30.0056,0.0895896,1.4402,0,0,161,296
0.032,1400,908,0,30.0156,0.323216,1.4405,0,0,389,41
0.032,1401,549,0,30.0163,0.337715,1.44052,0,0,225,549
0.032,1402,1192,0,30.0163,0.339599,1.44052,0,0,555,566
0.032,1403,1045,0,30.0162,0.337279,1.44052,0,0,463,531
0.032,1404,172,0,30.0145,0.301614,1.44046,0,0,74,249
0.032,1405,1031,0,30.0162,0.337352,1.44052,0,0,454,567
0.032,1406,981,0,29.68,-10,0.95232,0,0,426,298
0.032,1407,542,0,30.0077,0.141778,0.96021,0,0,222,3
0.032,1408,786,0,30.0108,0.338297,0.96026,0,0,336,461
0.032,1409,530,0,30.0109,0.340442,0.960262,0,0,217,578
0.032,1410,760,0,30.0101,0.316285,0.960243,0,0,323,82
0.032,1411,566,0,30.0108,0.337899,0.96026,0,0,232,376
0.032,1412,965,0,30.0105,0.32701,0.960252,0,0,417,91
0.032,1413,592,0,30.0107,0.33317,0.960256,0,0,242,670
0.032,1414,1191,1,29.8459,0.365808,0.954974,0,0,554,672
0.032,1415,728,0,30.0108,0.335577,0.960258,0,0,306,383
0.032,1416,610,0,30.0103,0.320479,0.960247,0,0,250,629
0.032,1417,848,0,30.0054,0.339043,0.480087,0,0,364,549
0.032,1418,1238,0,30.0055,0.341286,0.480087,0,0,575,679
0.032,1419,428,0,30.0054,0.337785,0.480087,0,0,178,401
0.032,1420,1142,0,30.0054,0.337661,0.480086,0,0,523,485
0.032,1421,1011,0,30.0054,0.33698,0.480086,0,0,440,680
0.032,1422,1337,0,30.0016,0.100921,0.480026,0,0,637,532
0.032,1423,754,0,30.0052,0.325851,0.480083,0,0,320,376
0.032,1424,535,0,30.0055,0.341286,0.480087,0,0,219,391
0.032,1425,1422,0,30.0054,0.339256,0.480087,0,0,681,339
0.032,1426,1228,0,30.0055,0.341286,0.480087,0,0,572,483
0.032,1427,957,0,30.0054,0.337297,0.480086,0,0,411,569
0.032,1428,547,0,30.0045,0.278781,0.480071,0,0,224,30
0.048,1392,33,0,30.0218,0.338759,1.92087,0,0,18,558
0.048,1393,1285,0,30.0215,0.335177,1.92086,0,0,602,100
0.048,1394,1167,0,30.0215,0.334462,1.92086,0,0,539,298
0.048,1395,561,0,29.9607,-0.918516,1.91891,0,0,229,631
0.048,1396,562,0,29.9452,-0.849962,1.9178,0,0,230,29
0.048,1397,37,0,30.0158,0.246161,1.92063,0,0,20,482
0.048,1398,1046,0,29.36,-10,1.8944,0,0,464,569
0.048,1399,387,0,30.0068,0.0723795,1.92031,0,0,161,296
0.048,1400,908,0,30.0207,0.322401,1.92083,0,0,389,41
0.048,1401,549,0,30.0216,0.336877,1.92087,0,0,225,549
0.048,1402,1192,0,30.0218,0.338759,1.92087,0,0,555,566
0.048,1403,1045,0,30.0216,0.336443,1.92087,0,0,463,531
0.048,1404,172,0,30.0193,0.300828,1.92077,0,0,74,249
0.048,1405,1031,0,30.0216,0.336515,1.92087,0,0,454,567
0.048,1406,981,0,29.52,-10,1.42464,0,0,426,298
0.048,1407,542,1,30.0131,0.338242,1.44042,0,0,222,3
0.048,1408,786,0,30.0162,0.337458,1.44052,0,0,336,461
0.048,1409,530,0,30.0163,0.339599,1.44052,0,0,217,578
0.048,1410,760,0,30.0152,0.315479,1.44049,0,0,323,82
0.048,1411,566,0,30.0162,0.337061,1.44052,0,0,232,376
0.048,1412,965,0,30.0157,0.326189,1.4405,0,0,417,91
0.048,1413,592,0,30.016,0.332339,1.44051,0,0,242,670
0.048,1414,1191,1,29.8517,0.364918,1.4326,0,0,554,672
0.048,1415,728,0,30.0161,0.334743,1.44052,0,0,306,383
0.048,1416,610,0,30.0154,0.319667,1.44049,0,0,250,629
0.048,1417,848,0,30.0108,0.338203,0.96026,0,0,364,549
0.048,1418,1238,0,30.0109,0.340442,0.960262,0,0,575,679
0.048,1419,428,0,30.0108,0.336946,0.960259,0,0,178,401
0.048,1420,1142,0,30.0108,0.336823,0.960259,0,0,523,485
0.048,1421,1011,0,30.0108,0.336144,0.960259,0,0,440,680
0.048,1422,1337,0,30.0032,0.101039,0.960078,0,0,637,532
0.048,1423,754,0,30.0104,0.325032,0.96025,0,0,320,376
0.048,1424,535,0,30.0109,0.340442,0.960262,0,0,219,391
0.048,1425,1422,0,30.0108,0.338416,0.96026,0,0,681,339
0.048,1426,1228,0,30.0109,0.340442,0.960262,0,0,572,483
0.048,1427,957,0,30.0108,0.33646,0.960259,0,0,411,569
0.048,1428,547,0,30.0089,0.278099,0.960214,0,0,224,30
0.048,1429,544,0,29.84,-10,0.47744,0,0,223,630
