EdgeID,u,v,name,ref,highway,length_m,fdot_aadt,fdot_roadway,fdot_from,fdot_to,fdot_year,fdot_aadt_flag,fdot_k_factor_percent,fdot_k_factor_flag,fdot_d_factor_percent,fdot_d_factor_flag,match_distance_m,match_angle_difference_deg
1,1,2,,I 4,motorway,386.205,18500,75280172,I-4 WB,ANDERSON ST,2025,T,9.0,F,99.9,W,15.651490824053145,16.129622651059535
2,1,3,,,motorway_link,187.824,6100,75000409,N/A,SOUTH ST,2025,C,9.0,F,99.9,W,16.74695198644949,3.96821476845777
3,2,74,,,motorway_link,254.951,18500,75280172,I-4 WB,ANDERSON ST,2025,T,9.0,F,99.9,W,0.0,0.09690335582332921
4,2,71,,I 4,motorway,625.042,9900,75280174,SOUTH ST,I-4 WB,2025,T,8.0,F,99.9,W,0.0,13.789565179769326
5,3,91,,,motorway_link,448.986,6100,75000409,N/A,SOUTH ST,2025,C,9.0,F,99.9,W,0.0,7.364735594122109
6,4,5,North Hughey Avenue,FL 526,secondary,205.219,6100,75030101,HUGHEY AVE,WASHINGTON ST,2025,C,9.0,F,99.9,W,0.0,0.886199899624657
7,5,10,North Hughey Avenue,,tertiary,203.5,6100,75000409,N/A,SOUTH ST,2025,C,9.0,F,99.9,W,0.0,1.7597293203885869
8,5,29,West Washington Street,FL 526,secondary,108.62,4000,75030000,US-441/ORNGEBLSM TRL,SR526/GARLAND AVE,2025,F,9.0,F,53.5,F,0.761335232245283,0.3296880617029103
9,5,66,West Washington Street,FL 526,secondary,178.837,4000,75030000,US-441/ORNGEBLSM TRL,SR526/GARLAND AVE,2025,F,9.0,F,53.5,F,0.3187170703328751,0.023491702773441148
10,6,7,West South Street,,secondary,20.922,11900,75000148,S ORANGE AVE,DIVISION AVE,2025,S,9.0,F,53.5,F,1.8731451038397284,9.388724928222246
11,6,8,West South Street,,secondary,13.406,11900,75000148,S ORANGE AVE,DIVISION AVE,2025,S,9.0,F,53.5,F,1.8731451038397284,4.006624399149445
