edge_id,source,target,length,source_x,source_y,target_x,target_y
0,1,2,488.515,479563.80261721165,3158020.256048067,480051.36930914514,3158054.7679618755
1,1,3,1913.671,479563.80261721165,3158020.256048067,481303.2430339963,3158650.433036119
2,2,12,25.356,480051.36930914514,3158054.7679618755,480071.7016084027,3158069.379135574
3,2,507,55.176,480051.36930914514,3158054.7679618755,480051.5692627135,3157999.796237478
4,4,5,20.302,480032.8231687128,3158284.8994601057,480015.5791078959,3158274.182712518
5,4,6,249.628,480032.8231687128,3158284.8994601057,479911.3231934001,3158501.9239009796
6,5,505,6.333,480015.5791078959,3158274.182712518,480017.68184067897,3158268.2299869666
7,5,506,61.242,480015.5791078959,3158274.182712518,479962.9287008929,3158242.8872330748
8,6,603,14.845,479911.3231934001,3158501.9239009796,479903.48028580763,3158514.4892600286
9,7,8,237.289,476487.76014258363,3157832.8218070655,476725.40165347257,3157833.699380898
10,8,456,642.185,476725.40165347257,3157833.699380898,477368.4168972291,3157833.7371392404
11,8,456,644.922,476725.40165347257,3157833.699380898,477368.4168972291,3157833.7371392404
12,9,10,18.488,476108.30498598376,3157802.9012088925,476107.5109834245,3157821.304215826
13,9,11,34.076,476108.30498598376,3157802.9012088925,476141.0486744077,3157794.492442708
14,10,626,67.801,476107.5109834245,3157821.304215826,476104.7823024873,3157888.800004432
15,11,7,348.738,476141.0486744077,3157794.492442708,476487.76014258363,3157832.8218070655
16,12,13,209.718,480071.7016084027,3158069.379135574,480036.77660502866,3158274.334940332
17,13,4,11.315,480036.77660502866,3158274.334940332,480032.8231687128,3158284.8994601057
18,14,15,77.595,477277.1276861371,3160663.642619938,477277.633006484,3160586.335640334
19,14,16,100.117,477277.1276861371,3160663.642619938,477274.83703555446,3160763.3649455593
20,14,17,360.858,477277.1276861371,3160663.642619938,476935.1322045962,3160602.326505031
21,15,14,77.595,477277.633006484,3160586.335640334,477277.1276861371,3160663.642619938
22,15,202,285.911,477277.633006484,3160586.335640334,477563.8064865703,3160587.911209149
23,15,275,248.081,477277.633006484,3160586.335640334,477282.6306427873,3160339.219336643
24,16,199,288.167,477274.83703555446,3160763.3649455593,477563.43110189476,3160764.6920463066
25,16,14,100.117,477274.83703555446,3160763.3649455593,477277.1276861371,3160663.642619938
26,16,197,342.304,477274.83703555446,3160763.3649455593,476932.0241652518,3160762.2734498098
27,16,200,281.989,477274.83703555446,3160763.3649455593,477271.147443335,3161044.2905565114
28,17,197,160.62,476935.1322045962,3160602.326505031,476932.0241652518,3160762.2734498098
29,17,245,256.089,476935.1322045962,3160602.326505031,477008.38652898074,3160359.5072679124
30,17,14,360.858,476935.1322045962,3160602.326505031,477277.1276861371,3160663.642619938
31,18,19,15.549,475281.7842527877,3158620.8235036656,475266.21203507355,3158620.8563432163
32,18,20,258.228,475281.7842527877,3158620.8235036656,475275.97841245896,3158878.0347010912
33,19,638,15.106,475266.21203507355,3158620.8563432163,475266.5911237162,3158605.8109138873
34,19,430,356.816,475266.21203507355,3158620.8563432163,474909.39775544207,3158601.883630201
35,20,426,14.036,475275.97841245896,3158878.0347010912,475261.92308650544,3158878.2748425943
36,20,555,192.855,475275.97841245896,3158878.0347010912,475270.95492414804,3159070.113682397
37,21,22,369.36,479877.6771015853,3158993.666920145,480246.3176770355,3158985.251785606
38,22,147,13.197,480246.3176770355,3158985.251785606,480249.9775837281,3158997.8861718425
39,22,148,169.743,480246.3176770355,3158985.251785606,480399.0586294117,3158913.3176172525
40,23,24,14.595,478269.04443297785,3157526.4339132044,478264.716969642,3157540.323265609
41,23,25,778.855,478269.04443297785,3157526.4339132044,478978.1712021633,3157774.983361458
42,24,511,200.391,478264.716969642,3157540.323265609,478193.6619140572,3157727.0389272897
43,25,513,17.998,478978.1712021633,3157774.983361458,478975.8749051427,3157792.768433768
44,25,332,329.182,478978.1712021633,3157774.983361458,479307.84288003563,3157774.851320542
45,26,27,40.496,476103.9560011554,3157910.5487872353,476101.7295007171,3157950.834758652
46,26,28,10.386,476103.9560011554,3157910.5487872353,476096.7315775358,3157903.2073840443
47,27,342,143.027,476101.7295007171,3157950.834758652,476086.2580948797,3158091.8845711565
48,28,627,19.473,476096.7315775358,3157903.2073840443,476088.3910582111,3157885.820059558
49,28,628,12.517,476096.7315775358,3157903.2073840443,476086.91620581585,3157910.9158737236
50,29,30,238.029,480473.92771047045,3158932.7462038435,480710.7191289506,3158942.42454602
51,29,30,429.603,480473.92771047045,3158932.7462038435,480710.7191289506,3158942.42454602
52,29,31,37.535,480473.92771047045,3158932.7462038435,480445.59319908667,3158957.321194478
53,30,29,238.029,480710.7191289506,3158942.42454602,480473.92771047045,3158932.7462038435
54,30,29,429.603,480710.7191289506,3158942.42454602,480473.92771047045,3158932.7462038435
55,30,391,280.922,480710.7191289506,3158942.42454602,480485.7642667722,3159003.9833051558
56,31,390,4.393,480445.59319908667,3158957.321194478,480441.47272989084,3158955.788158789
57,31,29,37.535,480445.59319908667,3158957.321194478,480473.92771047045,3158932.7462038435
58,31,391,61.664,480445.59319908667,3158957.321194478,480485.7642667722,3159003.9833051558
59,32,33,85.341,477335.96474851196,3159147.1671183836,477337.07193370187,3159062.148495524
60,32,34,308.532,477335.96474851196,3159147.1671183836,477414.7119545375,3159380.3396610576
61,32,35,273.709,477335.96474851196,3159147.1671183836,477377.86461798014,3159379.0148246996
62,33,32,85.341,477337.07193370187,3159062.148495524,477335.96474851196,3159147.1671183836
63,33,241,176.258,477337.07193370187,3159062.148495524,477340.32226498256,3158886.5700238626
64,33,36,470.321,477337.07193370187,3159062.148495524,477499.44034273905,3159383.4337930726
65,34,36,84.659,477414.7119545375,3159380.3396610576,477499.44034273905,3159383.4337930726
66,34,35,36.817,477414.7119545375,3159380.3396610576,477377.86461798014,3159379.0148246996
67,34,32,308.532,477414.7119545375,3159380.3396610576,477335.96474851196,3159147.1671183836
68,35,272,32.989,477377.86461798014,3159379.0148246996,477377.19446924486,3159411.874989194
69,35,34,36.817,477377.86461798014,3159379.0148246996,477414.7119545375,3159380.3396610576
70,35,32,273.709,477377.86461798014,3159379.0148246996,477335.96474851196,3159147.1671183836
71,36,34,84.659,477499.44034273905,3159383.4337930726,477414.7119545375,3159380.3396610576
72,36,317,88.514,477499.44034273905,3159383.4337930726,477588.0505512286,3159385.922874687
73,36,33,470.321,477499.44034273905,3159383.4337930726,477337.07193370187,3159062.148495524
74,37,38,164.007,474751.29806619574,3159092.602965753,474915.5298595489,3159095.1640444496
75,38,37,164.007,474915.5298595489,3159095.1640444496,474751.29806619574,3159092.602965753
76,38,39,70.593,474915.5298595489,3159095.1640444496,474921.3528099165,3159165.212211385
77,38,40,260.802,474915.5298595489,3159095.1640444496,474714.5541674779,3159026.4657826987
78,39,217,170.577,474921.3528099165,3159165.212211385,474750.5747486376,3159160.947986009
79,39,218,95.106,474921.3528099165,3159165.212211385,474999.2676806947,3159118.5713493875
80,39,219,70.822,474921.3528099165,3159165.212211385,474906.07530308724,3159234.0425857925
81,39,38,70.593,474921.3528099165,3159165.212211385,474915.5298595489,3159095.1640444496
82,40,38,260.802,474714.5541674779,3159026.4657826987,474915.5298595489,3159095.1640444496
83,41,42,399.058,476524.3682900137,3159387.8941575754,476517.740765385,3159785.294065061
84,42,41,399.058,476517.740765385,3159785.294065061,476524.3682900137,3159387.8941575754
85,42,43,206.237,476517.740765385,3159785.294065061,476724.19218797487,3159791.451791604
86,42,44,462.889,476517.740765385,3159785.294065061,476054.2756614035,3159775.086851044
87,43,124,155.483,476724.19218797487,3159791.451791604,476879.84864765237,3159795.530780338
88,43,42,206.237,476724.19218797487,3159791.451791604,476517.740765385,3159785.294065061
89,43,125,322.759,476724.19218797487,3159791.451791604,476724.25252191967,3160112.363364082
90,44,42,462.889,476054.2756614035,3159775.086851044,476517.740765385,3159785.294065061
91,44,122,285.32,476054.2756614035,3159775.086851044,476054.3967898606,3160059.339580025
92,44,123,268.07,476054.2756614035,3159775.086851044,476058.48361385224,3159508.0746510364
93,45,46,327.813,477334.05207314616,3158076.7548450246,477577.4343336605,3158181.9868745166
94,45,47,477.717,477334.05207314616,3158076.7548450246,477688.65204193926,3157964.536603564
95,45,48,681.053,477334.05207314616,3158076.7548450246,477945.4486435735,3158311.217529862
96,45,49,371.879,477334.05207314616,3158076.7548450246,476967.2974962853,3158118.049966498
97,46,45,327.813,477577.4343336605,3158181.9868745166,477334.05207314616,3158076.7548450246
98,47,45,477.717,477688.65204193926,3157964.536603564,477334.05207314616,3158076.7548450246
99,48,411,311.087,477945.4486435735,3158311.217529862,477849.4375847,3158097.5836000456
100,48,345,70.417,477945.4486435735,3158311.217529862,478013.7031015159,3158293.9176927647
101,48,45,681.053,477945.4486435735,3158311.217529862,477334.05207314616,3158076.7548450246
102,49,308,48.631,476967.2974962853,3158118.049966498,476966.1405416595,3158166.487433649
103,49,189,57.22,476967.2974962853,3158118.049966498,476977.3116589942,3158061.9177125483
104,49,45,371.879,476967.2974962853,3158118.049966498,477334.05207314616,3158076.7548450246
105,49,190,292.63,476967.2974962853,3158118.049966498,476676.02103905065,3158094.430225814
106,50,51,294.961,477287.6509487435,3160038.0620336253,477583.0426049927,3160040.395817867
107,50,52,153.289,477287.6509487435,3160038.0620336253,477284.9541515553,3160190.762569019
108,50,53,153.786,477287.6509487435,3160038.0620336253,477290.16104192927,3159884.8633588427
109,51,54,152.22,477583.0426049927,3160040.395817867,477584.01418893336,3159888.7400952405
110,51,50,294.961,477583.0426049927,3160040.395817867,477287.6509487435,3160038.0620336253
111,51,55,155.731,477583.0426049927,3160040.395817867,477582.5472143841,3160195.5514738937
112,52,55,297.232,477284.9541515553,3160190.762569019,477582.5472143841,3160195.5514738937
113,52,77,62.638,477284.9541515553,3160190.762569019,477222.25088480726,3160189.7210408035
114,52,81,127.929,477284.9541515553,3160190.762569019,477282.85396063456,3160318.2029359653
115,52,50,153.289,477284.9541515553,3160190.762569019,477287.6509487435,3160038.0620336253
116,53,129,77.762,477290.16104192927,3159884.8633588427,477291.49758123705,3159807.399751099
117,53,54,293.441,477290.16104192927,3159884.8633588427,477584.01418893336,3159888.7400952405
118,53,50,153.786,477290.16104192927,3159884.8633588427,477287.6509487435,3160038.0620336253
119,54,51,152.22,477584.01418893336,3159888.7400952405,477583.0426049927,3160040.395817867
120,54,53,293.441,477584.01418893336,3159888.7400952405,477290.16104192927,3159884.8633588427
121,54,274,171.113,477584.01418893336,3159888.7400952405,477585.1747738146,3159718.261642073
122,55,52,297.232,477582.5472143841,3160195.5514738937,477284.9541515553,3160190.762569019
123,55,82,82.906,477582.5472143841,3160195.5514738937,477583.9766378933,3160278.1391379945
124,55,51,155.731,477582.5472143841,3160195.5514738937,477583.0426049927,3160040.395817867
125,56,57,14.301,480070.7859768376,3157783.8330852715,480070.6536700711,3157798.0802220353
126,56,58,149.352,480070.7859768376,3157783.8330852715,480220.33035404474,3157785.7402324392
127,57,542,10.241,480070.6536700711,3157798.0802220353,480060.4013926454,3157797.787450362
128,57,12,272.308,480070.6536700711,3157798.0802220353,480071.7016084027,3158069.379135574
129,58,608,13.177,480220.33035404474,3157785.7402324392,480220.9100607611,3157798.85616162
130,58,611,628.287,480220.33035404474,3157785.7402324392,480738.20658026595,3157472.74260267
131,59,56,152.642,480068.17990891926,3157631.81877013,480070.7859768376,3157783.8330852715
132,60,61,410.647,478228.79922504013,3160623.215770015,478235.02217570686,3160214.129786639
133,61,60,410.647,478235.02217570686,3160214.129786639,478228.79922504013,3160623.215770015
134,61,583,127.628,478235.02217570686,3160214.129786639,478108.3212726905,3160230.906039167
135,62,63,114.421,476534.7777226814,3158367.7749401038,476536.84837962687,3158253.7951438515
