source,target,length,source_x,source_y
1,2,29.058,900538,-5.34132e+06
1,166,29.058,900538,-5.34132e+06
1,165,29.058,900538,-5.34132e+06
944,537,29.058,918055,-5.33777e+06
1054,1056,29.058,900697,-5.34149e+06
1054,1190,29.058,900697,-5.34149e+06
1054,1061,29.058,900697,-5.34149e+06
393,394,29.058,911994,-5.33847e+06
393,753,29.058,911994,-5.33847e+06
393,396,29.058,911994,-5.33847e+06
2,1,29.058,900344,-5.34126e+06
2,87,29.058,900344,-5.34126e+06
2,167,29.058,900344,-5.34126e+06
3,20,29.058,900273,-5.34135e+06
3,168,29.058,900273,-5.34135e+06
3,1138,29.058,900273,-5.34135e+06
387,479,29.058,905674,-5.34052e+06
4,5,29.058,898708,-5.34372e+06
4,468,29.058,898708,-5.34372e+06
4,311,29.058,898708,-5.34372e+06
5,4,29.058,899292,-5.34351e+06
5,324,29.058,899292,-5.34351e+06
5,926,29.058,899292,-5.34351e+06
948,475,29.058,905020,-5.34156e+06
397,396,29.058,911084,-5.33879e+06
397,730,29.058,911084,-5.33879e+06
397,1165,29.058,911084,-5.33879e+06
6,21,29.058,892883,-5.34562e+06
6,461,29.058,892883,-5.34562e+06
6,650,29.058,892883,-5.34562e+06
7,8,29.058,892611,-5.34575e+06
7,21,29.058,892611,-5.34575e+06
7,19,29.058,892611,-5.34575e+06
1124,108,29.058,917788,-5.33657e+06
407,408,29.058,913439,-5.33777e+06
8,7,29.058,893101,-5.34556e+06
8,471,29.058,893101,-5.34556e+06
8,1203,29.058,893101,-5.34556e+06
9,10,29.058,892286,-5.34555e+06
9,1362,29.058,892286,-5.34555e+06
9,1376,29.058,892286,-5.34555e+06
952,928,29.058,897756,-5.34328e+06
1126,1127,29.058,894648,-5.34389e+06
1126,345,29.058,894648,-5.34389e+06
1126,1128,29.058,894648,-5.34389e+06
401,980,29.058,883828,-5.34907e+06
10,9,29.058,892395,-5.34555e+06
10,1203,29.058,892395,-5.34555e+06
10,1181,29.058,892395,-5.34555e+06
11,14,29.058,892639,-5.34533e+06
11,17,29.058,892639,-5.34533e+06
11,1181,29.058,892639,-5.34533e+06
395,392,29.058,910899,-5.33885e+06
395,817,29.058,910899,-5.33885e+06
395,819,29.058,910899,-5.33885e+06
12,13,29.058,892945,-5.34521e+06
12,1202,29.058,892945,-5.34521e+06
12,23,29.058,892945,-5.34521e+06
13,12,29.058,892287,-5.34554e+06
13,1305,29.058,892287,-5.34554e+06
13,1306,29.058,892287,-5.34554e+06
956,955,29.058,916486,-5.33766e+06
405,406,29.058,913485,-5.33776e+06
405,404,29.058,913485,-5.33776e+06
405,408,29.058,913485,-5.33776e+06
14,11,29.058,892688,-5.34529e+06
15,16,29.058,894165,-5.34473e+06
15,609,29.058,894165,-5.34473e+06
15,1135,29.058,894165,-5.34473e+06
1132,1131,29.058,899833,-5.34149e+06
415,416,29.058,914573,-5.33713e+06
415,414,29.058,914573,-5.33713e+06
415,1182,29.058,914573,-5.33713e+06
16,15,29.058,893872,-5.3448e+06
17,11,29.058,893856,-5.34482e+06
896,897,29.058,901270,-5.34196e+06
896,1090,29.058,901270,-5.34196e+06
896,895,29.058,901270,-5.34196e+06
1134,895,29.058,901120,-5.34206e+06
1134,1222,29.058,901120,-5.34206e+06
1134,1317,29.058,901120,-5.34206e+06
409,410,29.058,913662,-5.3377e+06
18,135,29.058,892901,-5.34573e+06
19,24,29.058,892118,-5.34601e+06
19,612,29.058,892118,-5.34601e+06
19,7,29.058,892118,-5.34601e+06
403,404,29.058,913461,-5.33771e+06
403,410,29.058,913461,-5.33771e+06
